Pretty Formula,Density,Energy,Energy_per_Atom,Volume,Formation_Energy_per_Atom,Band Gap
SeF4,2.9862975472939643,-78.52229211,-3.9261146054999996,344.6495459591454,-2.09177461617075,4.1353
SeCl4,2.4124476150337357,-401.23759761,-2.5077349850625,4862.786128468994,-0.8067543213892503,2.855
SeBr,3.6389184370098437,-21.178012,-2.6472515,289.9761328724129,-0.08799440429687477,1.4863
SeI2,3.9256329868781354,-12.66268675,-2.1104477916666666,281.5218936749633,0.06542483880208305,0.8854
TeF6,3.234782501475148,-28.5274966,-4.075356657142857,124.01771141912045,-2.4088258095914283,4.4437999999999995
Te2Cl,4.671588653279716,-70.87147435,-2.9529780979166667,826.5122456863221,-0.4400843523366668,0.5734999999999997
TeBr4,3.6435130780437555,-92.87019616,-2.321754904,1630.5573470566183,-0.39006005399999993,2.5202
TeI,4.744108510271409,-38.42755901,-2.401722438125,712.6558886661403,-0.07098525312500037,0.7942999999999998
ClF3,2.282502499435791,-79.98952148,-2.49967254625,538.0545651340129,-1.1207972017074999,2.4608
BrF5,2.876906709641475,-33.62062309,-2.8017185908333335,201.89856107267195,-1.346424349325,3.4387000000000003
IF7,3.515397598621534,-46.39171023,-2.899481889375,245.5272532663507,-1.46661811729125,1.4709999999999996
KrF2,3.1571604046386486,-4.02643257,-1.34214419,64.05915600591402,-0.37639807746000004,2.8529
XeF3,3.718186044211467,-30.79458303,-1.924661439375,336.35748087351016,-0.8503111265174998,2.48
BrCl,2.419080569348,-7.14595657,-1.7864891425,158.36992323815704,-0.3450562641299999,1.7847
ICl,3.063118954974632,-29.24638747,-1.827899216875,704.1213125145812,-0.44144410850500004,1.4704000000000002
IBr,3.4148138583410046,-6.64234845,-1.6605871125,201.13162970734047,-0.08655010249999995,1.4045
